nombre,codigo,descripcion,tipo_unidad,tipo
"CODO HG 2X90""",H1216,"CODO HG 2X90""",UND,Inventario
LUBRICANTE ANTIOXIDANTE 450 ML,H1217,LUBRICANTE ANTIOXIDANTE 450 ML,UND,Inventario
PEGA PVC 1106 473 ML NARANJA,H1218,PEGA PVC 1106 473 ML NARANJA,UND,Inventario
" ABRAZADERA SUPER MINI 7/16""",H1219," ABRAZADERA SUPER MINI 7/16""",UND,Inventario
MANOMETRO PAOLO 200 PSI,H1220,MANOMETRO PAOLO 200 PSI,UND,Inventario
CODO TF 40 X90 TORO,H1221,CODO TF 40 X90 TORO,UND,Inventario
CODO SOLDABLE 1 1/4X45,H1222,CODO SOLDABLE 1 1/4X45,UND,Inventario
TORNILLO PUNTA BROCA 10X3/4,H1223,TORNILLO PUNTA BROCA 10X3/4,UND,Inventario
" BROCA PARA CONCRETO 1/4"" BRC",H1224," BROCA PARA CONCRETO 1/4"" BRC",UND,Inventario
CEMENTO ASFALTICO 4K,H1225,CEMENTO ASFALTICO 4K,UND,Inventario
LLAVE ANGULAR BRIGS 1/2 X 1/2 MM,H1226,LLAVE ANGULAR BRIGS 1/2 X 1/2 MM,UND,Inventario
"TERMINAL BRONCE SOHE 1-4""",H1227,"TERMINAL BRONCE SOHE 1-4""",UND,Inventario
CODO TF 25 X 90 INCERTO METALICO H,H1228,CODO TF 25 X 90 INCERTO METALICO H,UND,Inventario
" SET 100 PCS AMARRA PLASTICA 12"" X 3",H1229," SET 100 PCS AMARRA PLASTICA 12"" X 3",UND,Inventario
PAR DE CONECTORES MEDIDOR INDUSTRIAL,H1230,PAR DE CONECTORES MEDIDOR INDUSTRIAL,UND,Inventario
CODO INOX 1/2 CACHIMBA,H1231,CODO INOX 1/2 CACHIMBA,UND,Inventario
PEGA WEL ON 713 237 ML,H1232,PEGA WEL ON 713 237 ML,UND,Inventario
REDUCCION MH 32 A 20 MM,H1233,REDUCCION MH 32 A 20 MM,UND,Inventario
VALVULA ATAQUE RAPIDO HORIZONTAL RECA,H1234,VALVULA ATAQUE RAPIDO HORIZONTAL RECA,UND,Inventario
"ADAPTADOR SO HI 1/2""",H1235,"ADAPTADOR SO HI 1/2""",UND,Inventario
PERNO EXPANSIVO 1/4 X 2,H1236,PERNO EXPANSIVO 1/4 X 2,UND,Inventario
CEMENTO GUAPAN SACO,H1237,CEMENTO GUAPAN SACO,UND,Inventario
TANQUE TIPO BOTELLA 2500 LITROS RIVAL,H1238,TANQUE TIPO BOTELLA 2500 LITROS RIVAL,UND,Inventario
BUSHING DE COBRE 1/2,H1239,BUSHING DE COBRE 1/2,UND,Inventario
TEE REDUCIDA 50X20X50,H1240,TEE REDUCIDA 50X20X50,UND,Inventario
"VALVULA CHEKC 3""",H1241,"VALVULA CHEKC 3""",UND,Inventario
TEE MECANICA RANURADA RECOMB 3 X 1 1/2,H1242,TEE MECANICA RANURADA RECOMB 3 X 1 1/2,UND,Inventario
SOLDADURA PLATA 0%,H1243,SOLDADURA PLATA 0%,UND,Inventario
UNION TF UNIVERSAL 20 MM,H1244,UNION TF UNIVERSAL 20 MM,UND,Inventario
UNIFIX GASTOP FUERZA ALTA 36 ML,H1245,UNIFIX GASTOP FUERZA ALTA 36 ML,UND,Inventario
"CODO HN RANURADO 45 X 4""",H1246,"CODO HN RANURADO 45 X 4""",UND,Inventario
NEPLO HN 1 1/4 X 20 CM,H1247,NEPLO HN 1 1/4 X 20 CM,UND,Inventario
"SIFON ACORDEON 2P FV E245,02WLBL",H1248,"SIFON ACORDEON 2P FV E245,02WLBL",UND,Inventario
TEE HN 3-4,H1249,TEE HN 3-4,UND,Inventario
"TUBO AC CED10 4""",H1250,"TUBO AC CED10 4""",UND,Inventario
TUBO TF 32 MM X 6M AZUL,H1251,TUBO TF 32 MM X 6M AZUL,UND,Inventario
FLOTADOR TANQUE 3/4 COBRE,H1252,FLOTADOR TANQUE 3/4 COBRE,UND,Inventario
GRIFERIA MZ LAVABO 4 FV NEW PORT E 190/B2 CR,H1253,GRIFERIA MZ LAVABO 4 FV NEW PORT E 190/B2 CR,UND,Inventario
PERNO EXPANSIVO 1/4 X 2,H1254,PERNO EXPANSIVO 1/4 X 2,UND,Inventario
YEE PVC DESAGUE 160 MM INYECTADO,H1255,YEE PVC DESAGUE 160 MM INYECTADO,UND,Inventario
NEPLO HN 1/2 CON CINTURA ULFM,H1256,NEPLO HN 1/2 CON CINTURA ULFM,UND,Inventario
"ABRAZADERA AZUL 40 1-1/4""",H1257,"ABRAZADERA AZUL 40 1-1/4""",UND,Inventario
ABRAZADERA AZUL 32,H1258,ABRAZADERA AZUL 32,UND,Inventario
SIERRA SANFLEX DE 12*24,H1259,SIERRA SANFLEX DE 12*24,UND,Inventario
