nombre,codigo,descripcion,tipo_unidad,tipo
CODO PEGABLE DE 63X90 TIGRE ,H0270,CODO PEGABLE DE 63X90 TIGRE ,UND,Inventario
CODO PEGABLE DE 63X90 PLASTIGAMA ,H0271,CODO PEGABLE DE 63X90 PLASTIGAMA ,UND,Inventario
"UNION H/N RANURADA FLEXIBLE 2 1/2""",H0272,"UNION H/N RANURADA FLEXIBLE 2 1/2""",UND,Inventario
CODO 90 X 50 MM PEGABLE PLASTIGAMA,H0273,CODO 90 X 50 MM PEGABLE PLASTIGAMA,UND,Inventario
"UNION A/I ROSCABLE DE 1/2""",H0274,"UNION A/I ROSCABLE DE 1/2""",UND,Inventario
UNION TF DOBLE DIAM 20 MM TIGRE,H0275,UNION TF DOBLE DIAM 20 MM TIGRE,UND,Inventario
ARNES SEGURIDAD VERDE,H0276,ARNES SEGURIDAD VERDE,UND,Inventario
PINTURA ROJO VIVO 3.75 LTS,H0277,PINTURA ROJO VIVO 3.75 LTS,UND,Inventario
MANOMETRO KL 1.6,H0278,MANOMETRO KL 1.6,UND,Inventario
"NUDO H/N UL/FM 3""",H0279,"NUDO H/N UL/FM 3""",UND,Inventario
"NUDO H/N UL/FM 1""",H0280,"NUDO H/N UL/FM 1""",UND,Inventario
"BUSHING HN ULFM 1 1/2 X 1""",H0281,"BUSHING HN ULFM 1 1/2 X 1""",UND,Inventario
"TEE HN 150 ULKFM 2 1/2""",H0282,"TEE HN 150 ULKFM 2 1/2""",UND,Inventario
"REDUCCION AC CED 40 2 1/2 X 1 """,H0283,"REDUCCION AC CED 40 2 1/2 X 1 """,UND,Inventario
"CODO HN 150 ULFM 45X2""",H0284,"CODO HN 150 ULFM 45X2""",UND,Inventario
ANILLO DE CERA 1319 EDESA,H0285,ANILLO DE CERA 1319 EDESA,UND,Inventario
ESTILETE 18 MM PLASTICO,H0286,ESTILETE 18 MM PLASTICO,UND,Inventario
"ESPATULA 3"" SILK MANGO",H0287,"ESPATULA 3"" SILK MANGO",UND,Inventario
"GRILLETE PARA CABLE 1/4""",H0288,"GRILLETE PARA CABLE 1/4""",UND,Inventario
SPRINKLER PENDIENTE 1/2 CROMADO,H0289,SPRINKLER PENDIENTE 1/2 CROMADO,UND,Inventario
COBERTOR SPRINKLER 1/2 CROMADO,H0290,COBERTOR SPRINKLER 1/2 CROMADO,UND,Inventario
"VALVULA DE BOLA STAND VIENNA 1/2"" ROJA",H0291,"VALVULA DE BOLA STAND VIENNA 1/2"" ROJA",UND,Inventario
"TEE ROSCABLE DE 1/2"" PLASTIGAMA",H0292,"TEE ROSCABLE DE 1/2"" PLASTIGAMA",UND,Inventario
"CODO HN RANURADO FLEXIBLE 90X2 1/2""",H0293,"CODO HN RANURADO FLEXIBLE 90X2 1/2""",UND,Inventario
"CODO HN RANURA FLEXIBLE ULFM 45 X 2 1/2""",H0294,"CODO HN RANURA FLEXIBLE ULFM 45 X 2 1/2""",UND,Inventario
"CODO AC 90 X2 1/2""",H0295,"CODO AC 90 X2 1/2""",UND,Inventario
REDUCCION HN DE 2 1/2 X 2,H0296,REDUCCION HN DE 2 1/2 X 2,UND,Inventario
VALVULA RED PRES MINIPRES ITAP 361,H0297,VALVULA RED PRES MINIPRES ITAP 361,UND,Inventario
"BUSHING AI 1X1/2""",H0298,"BUSHING AI 1X1/2""",UND,Inventario
REGULADOR DE PRIMERA 8KG RECA+ MANOMETRO,H0299,REGULADOR DE PRIMERA 8KG RECA+ MANOMETRO,UND,Inventario
"TUERCA LOCA DE 1/2 X 5/16"" (H IZQ PITON CENTRALINA)",H0300,"TUERCA LOCA DE 1/2 X 5/16"" (H IZQ PITON CENTRALINA)",UND,Inventario
FERRULATOJN 5/16 CASQUILLO,H0301,FERRULATOJN 5/16 CASQUILLO,UND,Inventario
MANGUERA REFORZADA 5/16 X METRO ALFFLEX,H0302,MANGUERA REFORZADA 5/16 X METRO ALFFLEX,UND,Inventario
"BOQUILLA BRONCE 1/2 X 5/16"" M-PITON PANAMA PEX",H0303,"BOQUILLA BRONCE 1/2 X 5/16"" M-PITON PANAMA PEX",UND,Inventario
"REDUCCION  BRONCE DE 1/2 X1/4""",H0304,"REDUCCION  BRONCE DE 1/2 X1/4""",UND,Inventario
ARANDELA PLANA DE ACERO,H0305,ARANDELA PLANA DE ACERO,UND,Inventario
GRAPA TUBERIA 1/2 INDUMA,H0306,GRAPA TUBERIA 1/2 INDUMA,UND,Inventario
"BROCA PLUS HAMMER 1/4"" BPH",H0307,"BROCA PLUS HAMMER 1/4"" BPH",UND,Inventario
"UNION H/N ULFM 1 1/4""",H0308,"UNION H/N ULFM 1 1/4""",UND,Inventario
"BUSHING HN 1/2 X 1/4""",H0309,"BUSHING HN 1/2 X 1/4""",UND,Inventario
"TEE HN 150 ULFM 1/2""",H0310,"TEE HN 150 ULFM 1/2""",UND,Inventario
"CODO AC CD 40 90X1""",H0311,"CODO AC CD 40 90X1""",UND,Inventario
"VALVULA ESFERA AC NIBCO 1""",H0312,"VALVULA ESFERA AC NIBCO 1""",UND,Inventario
"NEPLO AC CED 40 1"" X 3""",H0313,"NEPLO AC CED 40 1"" X 3""",UND,Inventario
"REDUCCION AC CED 40 1 1/4X 1""",H0314,"REDUCCION AC CED 40 1 1/4X 1""",UND,Inventario
"REDUCCION HN RANURADO ULFM 2 1/2X 2""",H0315,"REDUCCION HN RANURADO ULFM 2 1/2X 2""",UND,Inventario
"TEE MECANICA ROSCABLE  ULFM DE 2"" X 1  1/2""",H0316,"TEE MECANICA ROSCABLE  ULFM DE 2"" X 1  1/2""",UND,Inventario
"REDUCTOR AC CED40 2 X 1 1/2""",H0317,"REDUCTOR AC CED40 2 X 1 1/2""",UND,Inventario
MANOMETRO VERTICAL 1/4 0-400 GENEBRE,H0318,MANOMETRO VERTICAL 1/4 0-400 GENEBRE,UND,Inventario
LIJA 120,H0319,LIJA 120,UND,Inventario
GUANTE DE LATEX LISO MEDIUM,H0320,GUANTE DE LATEX LISO MEDIUM,UND,Inventario
ELECTRODO 6011,H0321,ELECTRODO 6011,UND,Inventario
"BROCA MAX HAMMER 3/4""",H0322,"BROCA MAX HAMMER 3/4""",UND,Inventario
TUBO DE ABASTO CALEFON 1/2 COFLEX,H0323,TUBO DE ABASTO CALEFON 1/2 COFLEX,UND,Inventario
CALEFON INSTAMATIC 26 LITROS,H0324,CALEFON INSTAMATIC 26 LITROS,UND,Inventario
RIEL CHANEL 3 METROS 41X21X1 5 MM DE ESPESOR,H0325,RIEL CHANEL 3 METROS 41X21X1 5 MM DE ESPESOR,UND,Inventario
REDUCCION BRONCE DE 1/2 X 3/8,H0326,REDUCCION BRONCE DE 1/2 X 3/8,UND,Inventario
TAPON INOX 1/2 M,H0327,TAPON INOX 1/2 M,UND,Inventario
NEPLO BRONCE 1/4 CON CINTURA,H0328,NEPLO BRONCE 1/4 CON CINTURA,UND,Inventario
"PLACA DECORATIVA GRIS 1/2""",H0329,"PLACA DECORATIVA GRIS 1/2""",UND,Inventario
"ROCIADOR AUT. COLGANTE 1/2"" GRIS",H0330,"ROCIADOR AUT. COLGANTE 1/2"" GRIS",UND,Inventario
"TEE TF H  ROSCABLE 25X1/2""",H0331,"TEE TF H  ROSCABLE 25X1/2""",UND,Inventario
BROCA ESCALONADA 9 NIVELES 4 MM,H0332,BROCA ESCALONADA 9 NIVELES 4 MM,UND,Inventario
KILO DE CLAVOS DE CONGRETO NEGRO,H0333,KILO DE CLAVOS DE CONGRETO NEGRO,UND,Inventario
"CODO AC PS CED 40 90X  1/2""",H0334,"CODO AC PS CED 40 90X  1/2""",UND,Inventario
NEPLO AC CED 40 1  1/2 X 8,H0335,NEPLO AC CED 40 1  1/2 X 8,UND,Inventario
TEE MECANICA ROSCABLE 2 1/2 X 1,H0336,TEE MECANICA ROSCABLE 2 1/2 X 1,UND,Inventario
REDUCCION HN RANURADO DE 2 1/2X 1 1/2,H0337,REDUCCION HN RANURADO DE 2 1/2X 1 1/2,UND,Inventario
"PLATINA HN 1""X1-8""",H0338,"PLATINA HN 1""X1-8""",UND,Inventario
NEPLO AI ROSCABLE 1X4,H0339,NEPLO AI ROSCABLE 1X4,UND,Inventario
DISCO DIAMANTE 4.1/2 CENTURY SEGMENTADO 115MM,H0340,DISCO DIAMANTE 4.1/2 CENTURY SEGMENTADO 115MM,UND,Inventario
"GRAPA TUBO CONDUCTOR 1""",H0341,"GRAPA TUBO CONDUCTOR 1""",UND,Inventario
GRIFERIA MONODUCHA ARIZONA FV E108/B1,H0342,GRIFERIA MONODUCHA ARIZONA FV E108/B1,UND,Inventario
CODO PVC 110MM X 45 DESAGUE RIVAL,H0343,CODO PVC 110MM X 45 DESAGUE RIVAL,UND,Inventario
TUBO PVC DESAGUE 110 MM X 3 M TIGRE,H0344,TUBO PVC DESAGUE 110 MM X 3 M TIGRE,UND,Inventario
CODO PVC 50MM X 45 DESAGUE,H0345,CODO PVC 50MM X 45 DESAGUE,UND,Inventario
CODO PVC 75MM X 90 DESAGUE,H0346,CODO PVC 75MM X 90 DESAGUE,UND,Inventario
CODO PVC 75MM X 45 DESAGUE,H0347,CODO PVC 75MM X 45 DESAGUE,UND,Inventario
YEE PVC 110MM DESAGUE RIVAL,H0348,YEE PVC 110MM DESAGUE RIVAL,UND,Inventario
TUBO PVC DESAGUE 50 MM X 3 M RIVAL,H0349,TUBO PVC DESAGUE 50 MM X 3 M RIVAL,UND,Inventario
"PEGA WELD ON 602 1/4"" GALON TGR",H0350,"PEGA WELD ON 602 1/4"" GALON TGR",UND,Inventario
YEE PVC 110MM X 50 DESAGUE TGR,H0351,YEE PVC 110MM X 50 DESAGUE TGR,UND,Inventario
TUBO PVC DESAGUE 75 MM X 3 M,H0352,TUBO PVC DESAGUE 75 MM X 3 M,UND,Inventario
HIDROJET 1 1/2 X 1 1/2  COMPLETA LASWM,H0353,HIDROJET 1 1/2 X 1 1/2  COMPLETA LASWM,UND,Inventario
LAMPARA PLANO LED 18 W MULTICOLOR ACUACORAL,H0354,LAMPARA PLANO LED 18 W MULTICOLOR ACUACORAL,UND,Inventario
TRANSFORMADOR DC 12V 60W ACUACORAL,H0355,TRANSFORMADOR DC 12V 60W ACUACORAL,UND,Inventario
VAPOR CON TEMPORIZADOR 9KW 220V TM60A,H0356,VAPOR CON TEMPORIZADOR 9KW 220V TM60A,UND,Inventario
"TUBO PVC 1 1/2"" X METROS CED 40",H0357,"TUBO PVC 1 1/2"" X METROS CED 40",UND,Inventario
CODO PVC  PRESION 90X40 MM,H0358,CODO PVC  PRESION 90X40 MM,UND,Inventario
"TEE PVC 40 EC 1 1/2"" TGR",H0359,"TEE PVC 40 EC 1 1/2"" TGR",UND,Inventario
"CODO PVC 90 1 1/2"" CED 40 TGR",H0360,"CODO PVC 90 1 1/2"" CED 40 TGR",UND,Inventario
"CODO PVC 45 1 1/2"" CED 40 TGR",H0361,"CODO PVC 45 1 1/2"" CED 40 TGR",UND,Inventario
"UNION   PVC 1 1/2"" CED 40 TGR",H0362,"UNION   PVC 1 1/2"" CED 40 TGR",UND,Inventario
"TAPON PVC MACHO ROSCABLE 1 1/2"" CED 40 TGR",H0363,"TAPON PVC MACHO ROSCABLE 1 1/2"" CED 40 TGR",UND,Inventario
PEGA WELD-ON 713 1/8 GALON,H0364,PEGA WELD-ON 713 1/8 GALON,UND,Inventario
TUBO PVC 40 MM X 1.25 MPA X 6 M,H0365,TUBO PVC 40 MM X 1.25 MPA X 6 M,UND,Inventario
REDUCTOR PVC EXC DESAGUE 110X50 MM RIVAL,H0366,REDUCTOR PVC EXC DESAGUE 110X50 MM RIVAL,UND,Inventario
YEE PVC RED 160X110 MM TGF,H0367,YEE PVC RED 160X110 MM TGF,UND,Inventario
REDUCTOR PVC EXC DESAGUE 110X75 MM RIVAL,H0368,REDUCTOR PVC EXC DESAGUE 110X75 MM RIVAL,UND,Inventario
UNION PVC DESAGUE 160 MM RIVAL,H0369,UNION PVC DESAGUE 160 MM RIVAL,UND,Inventario
LIMPIADOR C-65 174 GALON,H0370,LIMPIADOR C-65 174 GALON,UND,Inventario
"TAPON PEGABLE 1 1/2"" LASCO",H0371,"TAPON PEGABLE 1 1/2"" LASCO",UND,Inventario
CODO PEGABLE DE 1/2X90 LASCO,H0372,CODO PEGABLE DE 1/2X90 LASCO,UND,Inventario
"BROCA COBALTO DE 5/16""",H0373,"BROCA COBALTO DE 5/16""",UND,Inventario
SILICON TUBO BLANCO ABRO 310  ML,H0374,SILICON TUBO BLANCO ABRO 310  ML,UND,Inventario
SILICON TUBO TRANSPARENTE ABRO 310  ML,H0375,SILICON TUBO TRANSPARENTE ABRO 310  ML,UND,Inventario
GUAIPE BLANCO 1 LIBRA,H0376,GUAIPE BLANCO 1 LIBRA,UND,Inventario
TUBO ROSCABLE PLASTIDOR 1 1-4 X 6 M,H0377,TUBO ROSCABLE PLASTIDOR 1 1-4 X 6 M,UND,Inventario
TEE PEGABLE 1 1/4  LASCO,H0378,TEE PEGABLE 1 1/4  LASCO,UND,Inventario
CODO PEGABLE 1 1-4 X 90 LASCO,H0379,CODO PEGABLE 1 1-4 X 90 LASCO,UND,Inventario
TACO NYLON ESPIRAL P/DRYWALL,H0380,TACO NYLON ESPIRAL P/DRYWALL,UND,Inventario
TORNILLO SICON 6X1 PLANCHA,H0381,TORNILLO SICON 6X1 PLANCHA,UND,Inventario
BROCA PARA METAL H SSS 4341 4.0M,H0382,BROCA PARA METAL H SSS 4341 4.0M,UND,Inventario
BROCA PARA METAL H SSS 4341 7.5 M,H0383,BROCA PARA METAL H SSS 4341 7.5 M,UND,Inventario
BROCA PARA METAL H SSS 4341 7.0 M,H0384,BROCA PARA METAL H SSS 4341 7.0 M,UND,Inventario
BROCA PARA METAL H SSS 4341 6.0 M,H0385,BROCA PARA METAL H SSS 4341 6.0 M,UND,Inventario
VALVULA GAS INDUSTRIAL CON REGULADOR,H0386,VALVULA GAS INDUSTRIAL CON REGULADOR,UND,Inventario
VALVULA GAS DOMESTICA PLATEADA,H0387,VALVULA GAS DOMESTICA PLATEADA,UND,Inventario
"DISCO CORTE METAL INSDUTRIAL 14""",H0388,"DISCO CORTE METAL INSDUTRIAL 14""",UND,Inventario
"TEFLON REFORZADO DE 3/4""",H0389,"TEFLON REFORZADO DE 3/4""",UND,Inventario
TUBO PVC DESAGUE 160 MM RIVAL X 3 METROS,H0390,TUBO PVC DESAGUE 160 MM RIVAL X 3 METROS,UND,Inventario
BUSHING DESAGUE 160X110M ,H0391,BUSHING DESAGUE 160X110M ,UND,Inventario
UNION PVC DESAGUE 110MM RIVAL,H0392,UNION PVC DESAGUE 110MM RIVAL,UND,Inventario
"PEGA WELD 705 1/4"" GALON",H0393,"PEGA WELD 705 1/4"" GALON",UND,Inventario
ADAPTADOR LIMPIEZA DESAGUE 11O M,H0394,ADAPTADOR LIMPIEZA DESAGUE 11O M,UND,Inventario
"TEE MECANICA ROSCABLE RECOM 2 1/2X 1 X1/4""",H0395,"TEE MECANICA ROSCABLE RECOM 2 1/2X 1 X1/4""",UND,Inventario
TAPA TF 50 MM TIGRE,H0396,TAPA TF 50 MM TIGRE,UND,Inventario
CODO TF 45 50 MM,H0397,CODO TF 45 50 MM,UND,Inventario
TUBO PVC DESAGUE 200 MM X 6 M,H0398,TUBO PVC DESAGUE 200 MM X 6 M,UND,Inventario
CODO PVC 45 DESAGUE 200 MM RIVAL,H0399,CODO PVC 45 DESAGUE 200 MM RIVAL,UND,Inventario
YEE PVC RED DESAGUE 200 X 160 MM,H0400,YEE PVC RED DESAGUE 200 X 160 MM,UND,Inventario
SIFON ACORDEON METALIZADO,H0401,SIFON ACORDEON METALIZADO,UND,Inventario
CODO 1 1/4 X 45 LASCO,H0402,CODO 1 1/4 X 45 LASCO,UND,Inventario
ARANDELA PLANA DE ACERO 3/4 PL,H0403,ARANDELA PLANA DE ACERO 3/4 PL,UND,Inventario
TORNILLO PUNTA BROCA C,H0404,TORNILLO PUNTA BROCA C,UND,Inventario
BUJE TF 50X20 MM,H0405,BUJE TF 50X20 MM,UND,Inventario
PLANCHA DE ESPUMA FLEX N0.2,H0406,PLANCHA DE ESPUMA FLEX N0.2,UND,Inventario
"CODO HN RANURADO ULFM 90X1 1/2""",H0407,"CODO HN RANURADO ULFM 90X1 1/2""",UND,Inventario
"CODO HN RANURADO ULFM 45X1 1/2""",H0408,"CODO HN RANURADO ULFM 45X1 1/2""",UND,Inventario
"NEPLO ROSCADO PP DE 1/2""",H0409,"NEPLO ROSCADO PP DE 1/2""",UND,Inventario
"VALVULA ESFERA BR. NIBCO 400 T580 P/C 1""",H0410,"VALVULA ESFERA BR. NIBCO 400 T580 P/C 1""",UND,Inventario
"NUDO AI ROSCABLE DE 1""",H0411,"NUDO AI ROSCABLE DE 1""",UND,Inventario
TEE TF RED CENTRIFUGA 50X25 MM V,H0412,TEE TF RED CENTRIFUGA 50X25 MM V,UND,Inventario
ADAPTADOR TF H 25X3/4 TGR,H0413,ADAPTADOR TF H 25X3/4 TGR,UND,Inventario
"VALVULA CHEQUE YORK 103 BE 1 1/2""",H0414,"VALVULA CHEQUE YORK 103 BE 1 1/2""",UND,Inventario
ADAPTADOR TF M 50 X 1X 1/2 TIGRE,H0415,ADAPTADOR TF M 50 X 1X 1/2 TIGRE,UND,Inventario
"VALVULA BOLA STAND VIENE 216 1""",H0416,"VALVULA BOLA STAND VIENE 216 1""",UND,Inventario
"LLAVE ESFERICA DE 1/2"" MANIL MARIPOSA",H0417,"LLAVE ESFERICA DE 1/2"" MANIL MARIPOSA",UND,Inventario
TANQUE HIDRONEUMATICO 80 LITROS VERT,H0418,TANQUE HIDRONEUMATICO 80 LITROS VERT,UND,Inventario
NEPLO INOX C40 1X3,H0419,NEPLO INOX C40 1X3,UND,Inventario
"ADAPTADOR PVC M CED40  PEGA/ROSC 1"" TGR",H0420,"ADAPTADOR PVC M CED40  PEGA/ROSC 1"" TGR",UND,Inventario
"TEE PVC CED40 E/C 1""",H0421,"TEE PVC CED40 E/C 1""",UND,Inventario
"RED PVC CED 40 1 1/2X1"" DURA1",H0422,"RED PVC CED 40 1 1/2X1"" DURA1",UND,Inventario
"CODO PVC 90 1/2"" CED 40 DURA",H0423,"CODO PVC 90 1/2"" CED 40 DURA",UND,Inventario
"ADAPTADOR PVC M CED40 PEGRABLE ROSCABLE 1/2""",H0424,"ADAPTADOR PVC M CED40 PEGRABLE ROSCABLE 1/2""",UND,Inventario
"VALVULA COMP BR PN 1""",H0425,"VALVULA COMP BR PN 1""",UND,Inventario
"TUBO PVC 1 ROSCABLE 1"" 80X6 MM",H0426,"TUBO PVC 1 ROSCABLE 1"" 80X6 MM",UND,Inventario
"UNIVERSAL PVC P 1"" DURA",H0427,"UNIVERSAL PVC P 1"" DURA",UND,Inventario
JUEGO DE HERRAJE EDESA,H0428,JUEGO DE HERRAJE EDESA,UND,Inventario
"TAPA PVC HEMBRA ROSCABLE 1 1/2""",H0429,"TAPA PVC HEMBRA ROSCABLE 1 1/2""",UND,Inventario
TEE TF RED CENT 50X32X50MM,H0430,TEE TF RED CENT 50X32X50MM,UND,Inventario
ADAPTADOR TF H 32 MMX3/4 TG,H0431,ADAPTADOR TF H 32 MMX3/4 TG,UND,Inventario
"VALVULA CHECK VERTICAL DE 1 1/2"" PEDROL",H0432,"VALVULA CHECK VERTICAL DE 1 1/2"" PEDROL",UND,Inventario
"NUDO INOX 3/4""",H0433,"NUDO INOX 3/4""",UND,Inventario
VALVULA ESFERA AGUA 3/4 PALAN FV LIVIA E,H0434,VALVULA ESFERA AGUA 3/4 PALAN FV LIVIA E,UND,Inventario
UNION PVC DESAGUE 200 MM,H0435,UNION PVC DESAGUE 200 MM,UND,Inventario
POLILIMPIA 1 LITRO,H0436,POLILIMPIA 1 LITRO,UND,Inventario
VALVULA CHECK VERTICAL 1 EUROPA 100,H0437,VALVULA CHECK VERTICAL 1 EUROPA 100,UND,Inventario
"VALVULA ESFERA AGUA 1"" PALAN H-H GENEBRE 400WO",H0438,"VALVULA ESFERA AGUA 1"" PALAN H-H GENEBRE 400WO",UND,Inventario
"NUDO UNIVERSAL INOX 1""",H0439,"NUDO UNIVERSAL INOX 1""",UND,Inventario
RADAR AUTOMATICO GENEBRE 300 CM,H0440,RADAR AUTOMATICO GENEBRE 300 CM,UND,Inventario
PRESOSTATO BOMBA 30-50 CENTRIPRO AS 4IFX,H0441,PRESOSTATO BOMBA 30-50 CENTRIPRO AS 4IFX,UND,Inventario
MANOMETRO VERTICAL 1/4 150 GENEBRE,H0442,MANOMETRO VERTICAL 1/4 150 GENEBRE,UND,Inventario
TEE PEGABLE 1/2 LASCO,H0443,TEE PEGABLE 1/2 LASCO,UND,Inventario
ADAPTADOR PEGABLE DE 1/2 H,H0444,ADAPTADOR PEGABLE DE 1/2 H,UND,Inventario
VALVULA ESFERA AGUA 1/2 PALAN HH,H0445,VALVULA ESFERA AGUA 1/2 PALAN HH,UND,Inventario
BREAKER SWITCH 50A 110 V POW50003,H0446,BREAKER SWITCH 50A 110 V POW50003,UND,Inventario
BREAKER SWITCH 50A 110 V POW50003,H0447,BREAKER SWITCH 50A 110 V POW50003,UND,Inventario
BUJE PVC 1X 1/2 LASCO,H0448,BUJE PVC 1X 1/2 LASCO,UND,Inventario
"ADAPTADOR PVC H CED40 1/2"" DURA",H0449,"ADAPTADOR PVC H CED40 1/2"" DURA",UND,Inventario
"CODO PVC 90 1"" CED 40 DAMI",H0450,"CODO PVC 90 1"" CED 40 DAMI",UND,Inventario
"TUBO PVC SCH40 1""X6M 450 PSI EXT LIS",H0451,"TUBO PVC SCH40 1""X6M 450 PSI EXT LIS",UND,Inventario
OREJERAS ANTIRUIDO CEN ,H0452,OREJERAS ANTIRUIDO CEN ,UND,Inventario
CHALECO REFLECTIVO VERDE,H0453,CHALECO REFLECTIVO VERDE,UND,Inventario
"CODO DE 1/2"" PLASTIGAMA",H0454,"CODO DE 1/2"" PLASTIGAMA",UND,Inventario
TEE 1/2 PLASTIGAMA,H0455,TEE 1/2 PLASTIGAMA,UND,Inventario
"LLAVE  DE PASO PALANCA FV DE 1/2""",H0456,"LLAVE  DE PASO PALANCA FV DE 1/2""",UND,Inventario
"ADAPTADOR TF M 25 MM X 1/2""",H0457,"ADAPTADOR TF M 25 MM X 1/2""",UND,Inventario
TAPON POLIP 3/4 PMEX,H0458,TAPON POLIP 3/4 PMEX,UND,Inventario
VALVULA ESFERA AGUA CALIENTE 3/4 ITAP 145 LISTED,H0459,VALVULA ESFERA AGUA CALIENTE 3/4 ITAP 145 LISTED,UND,Inventario
PEGAMENTO PVC WELDON 725 115 ML (4 0Z) AZUL,H0460,PEGAMENTO PVC WELDON 725 115 ML (4 0Z) AZUL,UND,Inventario
TERMO ANALG 1/2 INFERIOR GENEBRE,H0461,TERMO ANALG 1/2 INFERIOR GENEBRE,UND,Inventario
ADAPTADOR H  FUSION VESBO 20X1/2 METAL,H0462,ADAPTADOR H  FUSION VESBO 20X1/2 METAL,UND,Inventario
CODO FUSION VESBO 20X90,H0463,CODO FUSION VESBO 20X90,UND,Inventario
BOQUILLA TF 50 MM TIGRE,H0464,BOQUILLA TF 50 MM TIGRE,UND,Inventario
NUDO FUSION VESBO 25,H0465,NUDO FUSION VESBO 25,UND,Inventario
NEPLO INOX 1X6,H0466,NEPLO INOX 1X6,UND,Inventario
"ABRAZADERA AZUL 50 X 1 1/2""",H0467,"ABRAZADERA AZUL 50 X 1 1/2""",UND,Inventario
CODO INOX 1X90 CACHIMBA,H0468,CODO INOX 1X90 CACHIMBA,UND,Inventario
BOQUILLA BRONCE 1/2X3/8 M PITON,H0469,BOQUILLA BRONCE 1/2X3/8 M PITON,UND,Inventario
DETECTOR MONOXIDO DE CARBONO 9V,H0470,DETECTOR MONOXIDO DE CARBONO 9V,UND,Inventario
TEE INOX DE 1/2,H0471,TEE INOX DE 1/2,UND,Inventario
"NEPLO AI 3/4X2""",H0472,"NEPLO AI 3/4X2""",UND,Inventario
REDUCTOR AI 3/4 A 1/2 HEMBRA,H0473,REDUCTOR AI 3/4 A 1/2 HEMBRA,UND,Inventario
REDUCCION INOX 1X3/4,H0474,REDUCCION INOX 1X3/4,UND,Inventario
VALVULA TF ESFERA 32 MM TIGRE,H0475,VALVULA TF ESFERA 32 MM TIGRE,UND,Inventario
CABLE GEMELO 2X14,H0476,CABLE GEMELO 2X14,UND,Inventario
"DESTORNILLADOR PLANO 1/8X5""",H0477,"DESTORNILLADOR PLANO 1/8X5""",UND,Inventario
FIBRA NEOLITE LISO,H0478,FIBRA NEOLITE LISO,UND,Inventario
NEPLO INOX 1X3,H0479,NEPLO INOX 1X3,UND,Inventario
BUSHING PVC RED DESAGUE 200X160 MM,H0480,BUSHING PVC RED DESAGUE 200X160 MM,UND,Inventario
CODO PVC 45 DESAGUE 160 MM TIGRE,H0481,CODO PVC 45 DESAGUE 160 MM TIGRE,UND,Inventario
YEE PVC 75MM DESAGUE RIVAL,H0482,YEE PVC 75MM DESAGUE RIVAL,UND,Inventario
YEE PVC RED DESAGUE 110X75MM,H0483,YEE PVC RED DESAGUE 110X75MM,UND,Inventario
"PLATINA H/N 1/2""X3/16""",H0484,"PLATINA H/N 1/2""X3/16""",UND,Inventario
ACEITE PENETRANTE 13.5 ONZ. WD-40,H0485,ACEITE PENETRANTE 13.5 ONZ. WD-40,UND,Inventario
GUANTE REV. NITRILO MASTER NEGRO N100,H0486,GUANTE REV. NITRILO MASTER NEGRO N100,UND,Inventario
TIJERA PVC TUBO TRUPER GIGANTE,H0487,TIJERA PVC TUBO TRUPER GIGANTE,UND,Inventario
"VALVULA RED PRES ITAP 143 3/4"" 25/1-6BAR",H0488,"VALVULA RED PRES ITAP 143 3/4"" 25/1-6BAR",UND,Inventario
BOMBA SIMERGIBLE 0.5H,H0489,BOMBA SIMERGIBLE 0.5H,UND,Inventario
MALLA SOLDADA GALVANIZADA 2X2X30X1.50,H0490,MALLA SOLDADA GALVANIZADA 2X2X30X1.50,UND,Inventario
"CLAVOS ACERO 2""9X50",H0491,"CLAVOS ACERO 2""9X50",UND,Inventario
"PLATINA HN 2""X1/4""",H0492,"PLATINA HN 2""X1/4""",UND,Inventario
TUBO AC CED40 1 1-4X6 MT,H0493,TUBO AC CED40 1 1-4X6 MT,UND,Inventario
"TEE MECANICA ROSCABLE RECOMB 2""X 1 1/4",H0494,"TEE MECANICA ROSCABLE RECOMB 2""X 1 1/4",UND,Inventario
BOMBA JET PLURIJET 220V 4ET AUT PED,H0495,BOMBA JET PLURIJET 220V 4ET AUT PED,UND,Inventario
PLETINA MANGON ECON CEDAL,H0496,PLETINA MANGON ECON CEDAL,UND,Inventario
PERMAX X 1.45 MM MULTIPUNTI CONFECCIONADO,H0497,PERMAX X 1.45 MM MULTIPUNTI CONFECCIONADO,UND,Inventario
LIJA FANDELI TELA n0. 6'0 X MT,H0498,LIJA FANDELI TELA n0. 6'0 X MT,UND,Inventario
LIJA AGUA FANDELI 180,H0499,LIJA AGUA FANDELI 180,UND,Inventario
NEPLO INOX 1 1/4 CON CINTURA,H0500,NEPLO INOX 1 1/4 CON CINTURA,UND,Inventario
NUDO INOX 1 1/4,H0501,NUDO INOX 1 1/4,UND,Inventario
ADAPTADOR ESPIGA C ED 40 X 1 1/4 M PLASTIGAMA,H0502,ADAPTADOR ESPIGA C ED 40 X 1 1/4 M PLASTIGAMA,UND,Inventario
TUNO ESPIGA CED 40X1.25 MPA PLATIGAMA 6 M,H0503,TUNO ESPIGA CED 40X1.25 MPA PLATIGAMA 6 M,UND,Inventario
TUBO ESPIGA CED 32X1.25 MPA PLATIGAMA 6 M,H0504,TUBO ESPIGA CED 32X1.25 MPA PLATIGAMA 6 M,UND,Inventario
