nombre,codigo,descripcion,tipo_unidad,venta,,,
MANGUERA ARIES CON AGUJERO,H0080,MANGUERA ARIES CON AGUJERO,UND,,,,
MANGUERA CIEGA 16 MM PARA RIEGO COLORNEGRO,H0081,MANGUERA CIEGA 16 MM PARA RIEGO COLORNEGRO,UND,,,,
ADAPTADOR DE 16 MM,H0082,ADAPTADOR DE 16 MM,UND,,,,
"NEPLO PP ROSCABLE DE 1-2""",H0083,"NEPLO PP ROSCABLE DE 1-2""",UND,,,,
VALVULA RES PRES MINIPRESS ITAP 36 1 1/2C 15/1,H0084,VALVULA RES PRES MINIPRESS ITAP 36 1 1/2C 15/1,UND,,,,
"BUSHING HN ULFM 1""X1/2""",H0085,"BUSHING HN ULFM 1""X1/2""",UND,,,,
TAPON PVC MACHO ROSCABLE 1/2 TGR,H0086,TAPON PVC MACHO ROSCABLE 1/2 TGR,UND,,,,
CURVA TF ANGULO 90 20 MM TIGRE,H0087,CURVA TF ANGULO 90 20 MM TIGRE,UND,,,,
BOMBA EVANS BRAC 120W RECIRCULACION AUTOMATICA AC,H0088,BOMBA EVANS BRAC 120W RECIRCULACION AUTOMATICA AC,UND,,,,
CODO TF 45 MH 20 MM TGR,H0089,CODO TF 45 MH 20 MM TGR,UND,,,,
TEE TF 32 MM TIGRE,H0090,TEE TF 32 MM TIGRE,UND,,,,
"ADAPTADOR TF M 32 MM X 1"" TIGRE",H0091,"ADAPTADOR TF M 32 MM X 1"" TIGRE",UND,,,,
"VALVULA CHEQUE YORK 103 BR 1""",H0092,"VALVULA CHEQUE YORK 103 BR 1""",UND,,,,
NEPLO INOX 1 C/CINTURA,H0093,NEPLO INOX 1 C/CINTURA,UND,,,,
BUSHING INOX DE 1/2X1/4,H0094,BUSHING INOX DE 1/2X1/4,UND,,,,
MANOMETRO 1/4 VERT 1/4 0-150 GENEBRE +++,H0095,MANOMETRO 1/4 VERT 1/4 0-150 GENEBRE +++,UND,,,,
NEPLO INOX 1/2  C/CINT,H0096,NEPLO INOX 1/2  C/CINT,UND,,,,
TUBO CORRUGADO 160 MM SERIE 6 TIGRE,H0097,TUBO CORRUGADO 160 MM SERIE 6 TIGRE,UND,,,,
PRESOSTATO BOMBA 70-100  GENEBRE ,H0098,PRESOSTATO BOMBA 70-100  GENEBRE ,UND,,,,
"TEE H-N 150 UL/FM 1 1/2""",H0099,"TEE H-N 150 UL/FM 1 1/2""",UND,,,,
"TUBO A/C CED 40 S/C P/S 4"" X 6 M",H0100,"TUBO A/C CED 40 S/C P/S 4"" X 6 M",UND,,,,
"NEPLO AC C-40 1 1-4"" X 8""",H0101,"NEPLO AC C-40 1 1-4"" X 8""",UND,,,,
"TEE A/C P/S C/40 1 1/4""",H0102,"TEE A/C P/S C/40 1 1/4""",UND,,,,
"NEPLO A/C C-40 1""X4""",H0103,"NEPLO A/C C-40 1""X4""",UND,,,,
TEE PEGABLE 25 MM TIGRE GRIS,H0104,TEE PEGABLE 25 MM TIGRE GRIS,UND,,,,
 TEE PEGABLE 50 MM TIGRE ,H0105, TEE PEGABLE 50 MM TIGRE ,UND,,,,
"ADAPTADOR TF M 25 MM X 3/4""",H0106,"ADAPTADOR TF M 25 MM X 3/4""",UND,,,,
"ADAPTADOR PVC M CED 40 PEGROSCA / TIGRE 1/2""",H0107,"ADAPTADOR PVC M CED 40 PEGROSCA / TIGRE 1/2""",UND,,,,
"TEE TF C/ROSC M 25X1/2"" TIGRE",H0108,"TEE TF C/ROSC M 25X1/2"" TIGRE",UND,,,,
TEE TF RED CENT 50X20MM SO,H0109,TEE TF RED CENT 50X20MM SO,UND,,,,
TEE TF RED CENT 32X20X32 MM TIGRE,H0110,TEE TF RED CENT 32X20X32 MM TIGRE,UND,,,,
CODO DE PEGABLE 90X32 MM TIGRE GRIS,H0111,CODO DE PEGABLE 90X32 MM TIGRE GRIS,UND,,,,
CODO DE PEGABLE 90X25 MM TIGRE GRIS,H0112,CODO DE PEGABLE 90X25 MM TIGRE GRIS,UND,,,,
CODO 90 PEGABLE 40 MM TIGRE,H0113,CODO 90 PEGABLE 40 MM TIGRE,UND,,,,
CODO TF 90 63 MM TIGRE ,H0114,CODO TF 90 63 MM TIGRE ,UND,,,,
CODO TF 90 50 MM TIGRE,H0115,CODO TF 90 50 MM TIGRE,UND,,,,
CODO 45 PEGABLE 63 MM,H0116,CODO 45 PEGABLE 63 MM,UND,,,,
UNIVERSAL PEGABLE DIAM 32 MM T1,H0117,UNIVERSAL PEGABLE DIAM 32 MM T1,UND,,,,
UNIVERSAL PVC ROSCABLE 1 1/2 TIGRE,H0118,UNIVERSAL PVC ROSCABLE 1 1/2 TIGRE,UND,,,,
UNION TF 90 MM TIGRE,H0119,UNION TF 90 MM TIGRE,UND,,,,
UNION TF 50 MM TIGRE,H0120,UNION TF 50 MM TIGRE,UND,,,,
UNION TF 63 MM TIGRE,H0121,UNION TF 63 MM TIGRE,UND,,,,
"UNION PVC ROSCABLE 1"" TIGRE",H0122,"UNION PVC ROSCABLE 1"" TIGRE",UND,,,,
ADAPTADOR TF H 90X30MM,H0123,ADAPTADOR TF H 90X30MM,UND,,,,
ADAPTADOR TF H 50X1 1/2 TIGRE,H0124,ADAPTADOR TF H 50X1 1/2 TIGRE,UND,,,,
ADAPTADOR TF M 20MMX3,H0125,ADAPTADOR TF M 20MMX3,UND,,,,
ADAPTADOR TF M 25MMX3,H0126,ADAPTADOR TF M 25MMX3,UND,,,,
BUJE TF 32X20 MM TIGRE,H0127,BUJE TF 32X20 MM TIGRE,UND,,,,
PRESOSTATO PP5 PENTAX,H0128,PRESOSTATO PP5 PENTAX,UND,,,,
"NUDO ACERO INOXIDABLE ROSCABLE DE 1 1/2""",H0129,"NUDO ACERO INOXIDABLE ROSCABLE DE 1 1/2""",UND,,,,
"TUBO A/C CED 40 S/C P/S 1 "" X 6 M",H0130,"TUBO A/C CED 40 S/C P/S 1 "" X 6 M",UND,,,,
"NEPLO ACERO INOXIDABLE CED 40 DE 1/2"" X 4""·",H0131,"NEPLO ACERO INOXIDABLE CED 40 DE 1/2"" X 4""·",UND,,,,
"NEPLO ACERO INOXIDABLE CED 40 DE 1  1/2"" X 4""·",H0132,"NEPLO ACERO INOXIDABLE CED 40 DE 1  1/2"" X 4""·",UND,,,,
"ADAPTADOR PVC M PRESION 32X1""",H0133,"ADAPTADOR PVC M PRESION 32X1""",UND,,,,
"ADAPTADOR PVC M 63 X 2 """"",H0134,"ADAPTADOR PVC M 63 X 2 """"",UND,,,,
"ADAPTADOR PVC H 50X1 1/2 """"",H0135,"ADAPTADOR PVC H 50X1 1/2 """"",UND,,,,
"ADAPTADOR PVC M 25X3-4"" ",H0136,"ADAPTADOR PVC M 25X3-4"" ",UND,,,,
"ADAPTADOR PVC M 20X1/2"" ",H0137,"ADAPTADOR PVC M 20X1/2"" ",UND,,,,
"BUJE PVC CORTO 50X32"" PLASTIGAMA",H0138,"BUJE PVC CORTO 50X32"" PLASTIGAMA",UND,,,,
"BUJE PVC CORTO 40X32"" PLASTIGAMA",H0139,"BUJE PVC CORTO 40X32"" PLASTIGAMA",UND,,,,
"BUJE PVC ROSCABLE 1 1/2 X 3/4""",H0140,"BUJE PVC ROSCABLE 1 1/2 X 3/4""",UND,,,,
"ADAPTADOR PVC H 1X32""",H0141,"ADAPTADOR PVC H 1X32""",UND,,,,
"BUJE PVC 32X20"" TIGRE",H0142,"BUJE PVC 32X20"" TIGRE",UND,,,,
"NEPLO ROSCABLE 1"" TIGRE",H0143,"NEPLO ROSCABLE 1"" TIGRE",UND,,,,
"UNIVERSAL PVC 1""",H0144,"UNIVERSAL PVC 1""",UND,,,,
"UNION ROSCABLE 1"" TIGRE",H0145,"UNION ROSCABLE 1"" TIGRE",UND,,,,
CODO 45X50MM  PLASTIGAMA,H0146,CODO 45X50MM  PLASTIGAMA,UND,,,,
TEE PVC PRESION 20 MM PLASTIGAMA,H0147,TEE PVC PRESION 20 MM PLASTIGAMA,UND,,,,
"TEE PVC 1 1/4"" TIGRE",H0148,"TEE PVC 1 1/4"" TIGRE",UND,,,,
UNION PRESION 63 MM TIGRE,H0149,UNION PRESION 63 MM TIGRE,UND,,,,
UNION PRESION 50 MM TIGRE,H0150,UNION PRESION 50 MM TIGRE,UND,,,,
UNION PRESION 32 MM TIGRE,H0151,UNION PRESION 32 MM TIGRE,UND,,,,
UNION PRESION 40 MM TIGRE,H0152,UNION PRESION 40 MM TIGRE,UND,,,,
UNIVERSAL PVC 1/2 TIGRE,H0153,UNIVERSAL PVC 1/2 TIGRE,UND,,,,
UNION 20 MM  TIGRE,H0154,UNION 20 MM  TIGRE,UND,,,,
"TEE TF C ROSCABLE H 20 X 1/2""",H0155,"TEE TF C ROSCABLE H 20 X 1/2""",UND,,,,
LIJA UNION 100,H0156,LIJA UNION 100,UND,,,,
"DISCO CORT/MT DW 4 1/2""",H0157,"DISCO CORT/MT DW 4 1/2""",UND,,,,
PINTURA PROFESIONAL BL,H0158,PINTURA PROFESIONAL BL,UND,,,,
DISOLVENTE PARA PINTURAS,H0159,DISOLVENTE PARA PINTURAS,UND,,,,
ELECTRODO INDURA 230-S,H0160,ELECTRODO INDURA 230-S,UND,,,,
TUBO DE ABASTO 1/2X1/2X40,H0161,TUBO DE ABASTO 1/2X1/2X40,UND,,,,
MANOMETRO DE AIRE 0-145 PSI 1/4 63 MM,H0162,MANOMETRO DE AIRE 0-145 PSI 1/4 63 MM,UND,,,,
"VALVULA COMP 127 BR PN 1/2"" ITA",H0163,"VALVULA COMP 127 BR PN 1/2"" ITA",UND,,,,
"TEE PVC CED 40 E/C 1/2"" PEGABLE TGR",H0164,"TEE PVC CED 40 E/C 1/2"" PEGABLE TGR",UND,,,,
DISCO INGRO MCD,H0165,DISCO INGRO MCD,UND,,,,
"UNION H/N REDUCT RECOMB UL/FM 2"" X 1 1/2""",H0166,"UNION H/N REDUCT RECOMB UL/FM 2"" X 1 1/2""",UND,,,,
"TEE H/N RANUR.RECOMB ULK/FM2""",H0167,"TEE H/N RANUR.RECOMB ULK/FM2""",UND,,,,
"REDUCCION  H/N RANUR.RECOMB UL/FM2""X1""",H0168,"REDUCCION  H/N RANUR.RECOMB UL/FM2""X1""",UND,,,,
"CODO  H/N RANUR. UL/FM90X2""",H0169,"CODO  H/N RANUR. UL/FM90X2""",UND,,,,
"UNION  H/N RANUR. FLEXIBLE UL/FM 2""",H0170,"UNION  H/N RANUR. FLEXIBLE UL/FM 2""",UND,,,,
"TUBO A/C  CED40 S/C P/S 1 1/2"" X 6 MT",H0171,"TUBO A/C  CED40 S/C P/S 1 1/2"" X 6 MT",UND,,,,
"CODO H/N RANUR.UL/FM 45X 1 1/2""",H0172,"CODO H/N RANUR.UL/FM 45X 1 1/2""",UND,,,,
"COLGADOR A/G PERA UL/FM N0.69 1""",H0173,"COLGADOR A/G PERA UL/FM N0.69 1""",UND,,,,
"REDUCCION  H/G CIFUNSA UL/FM 1"" X 1/2""",H0174,"REDUCCION  H/G CIFUNSA UL/FM 1"" X 1/2""",UND,,,,
"REDUCCION  A/F ROSC 3000 1 1/2""X 1""",H0175,"REDUCCION  A/F ROSC 3000 1 1/2""X 1""",UND,,,,
GABINETE H/N SCI 70X22 EMPOTRABLE,H0176,GABINETE H/N SCI 70X22 EMPOTRABLE,UND,,,,
"VALVULA DE 1/2"" MACHO AMARILLA",H0177,"VALVULA DE 1/2"" MACHO AMARILLA",UND,,,,
NEPLO PP ROSCABLE 1/2X150MM POL,H0178,NEPLO PP ROSCABLE 1/2X150MM POL,UND,,,,
PEGA WELD-0N 602 1/32 TGR,H0179,PEGA WELD-0N 602 1/32 TGR,UND,,,,
