nombre,codigo,descripcion,tipo_unidad,venta,,,
"VALVULA RED PRES ITAP 143 3/4"" 25/1-6BAR",H0488,"VALVULA RED PRES ITAP 143 3/4"" 25/1-6BAR",UND,,,,
BOMBA SIMERGIBLE 0.5H,H0489,BOMBA SIMERGIBLE 0.5H,UND,,,,
MALLA SOLDADA GALVANIZADA 2X2X30X1.50,H0490,MALLA SOLDADA GALVANIZADA 2X2X30X1.50,UND,,,,
"CLAVOS ACERO 2""9X50",H0491,"CLAVOS ACERO 2""9X50",UND,,,,
"PLATINA HN 2""X1/4""",H0492,"PLATINA HN 2""X1/4""",UND,,,,
TUBO AC CED40 1 1-4X6 MT,H0493,TUBO AC CED40 1 1-4X6 MT,UND,,,,
"TEE MECANICA ROSCABLE RECOMB 2""X 1 1/4",H0494,"TEE MECANICA ROSCABLE RECOMB 2""X 1 1/4",UND,,,,
BOMBA JET PLURIJET 220V 4ET AUT PED,H0495,BOMBA JET PLURIJET 220V 4ET AUT PED,UND,,,,
PLETINA MANGON ECON CEDAL,H0496,PLETINA MANGON ECON CEDAL,UND,,,,
PERMAX X 1.45 MM MULTIPUNTI CONFECCIONADO,H0497,PERMAX X 1.45 MM MULTIPUNTI CONFECCIONADO,UND,,,,
LIJA FANDELI TELA n0. 6'0 X MT,H0498,LIJA FANDELI TELA n0. 6'0 X MT,UND,,,,
LIJA AGUA FANDELI 180,H0499,LIJA AGUA FANDELI 180,UND,,,,
NEPLO INOX 1 1/4 CON CINTURA,H0500,NEPLO INOX 1 1/4 CON CINTURA,UND,,,,
NUDO INOX 1 1/4,H0501,NUDO INOX 1 1/4,UND,,,,
ADAPTADOR ESPIGA C ED 40 X 1 1/4 M PLASTIGAMA,H0502,ADAPTADOR ESPIGA C ED 40 X 1 1/4 M PLASTIGAMA,UND,,,,
TUNO ESPIGA CED 40X1.25 MPA PLATIGAMA 6 M,H0503,TUNO ESPIGA CED 40X1.25 MPA PLATIGAMA 6 M,UND,,,,
TUBO ESPIGA CED 32X1.25 MPA PLATIGAMA 6 M,H0504,TUBO ESPIGA CED 32X1.25 MPA PLATIGAMA 6 M,UND,,,,
CODEO ESPIGA CED 32 X 45 PLASTIGAMA,H0505,CODEO ESPIGA CED 32 X 45 PLASTIGAMA,UND,,,,
CODO ESPIGA CED 32 X 90 PLASTIGAMA,H0506,CODO ESPIGA CED 32 X 90 PLASTIGAMA,UND,,,,
VALVULA PIE BR 1 1/4 PEDROLLO,H0507,VALVULA PIE BR 1 1/4 PEDROLLO,UND,,,,
ABRAZADERA EMT 1/2 LUXAR,H0508,ABRAZADERA EMT 1/2 LUXAR,UND,,,,
ABRAZADERA EMT 1/2 LUXAR,H0509,ABRAZADERA EMT 1/2 LUXAR,UND,,,,
PEGAMENTO PVC ARROW NAR 236 ML 1-16,H0510,PEGAMENTO PVC ARROW NAR 236 ML 1-16,UND,,,,
ADAPTADOR ESPIGA CED 40 X 1 1/4H,H0511,ADAPTADOR ESPIGA CED 40 X 1 1/4H,UND,,,,
NEPLO POLIP 1 1/4  CON CINTURA,H0512,NEPLO POLIP 1 1/4  CON CINTURA,UND,,,,
BOMBA SUMERGIBLE 1 HP 110 V,H0513,BOMBA SUMERGIBLE 1 HP 110 V,UND,,,,
PISTOLA DE GRAVEDAD 45 PSI TRUPER RETOQUE,H0514,PISTOLA DE GRAVEDAD 45 PSI TRUPER RETOQUE,UND,,,,
PINTURA TAN ALUMINO 1/32,H0515,PINTURA TAN ALUMINO 1/32,UND,,,,
REJILLA DE ALUMINIO 50 MM REDO,H0516,REJILLA DE ALUMINIO 50 MM REDO,UND,,,,
CANALETA ISA DEXSON 13X07X2 MT BLANCA,H0517,CANALETA ISA DEXSON 13X07X2 MT BLANCA,UND,,,,
SIKA CARTUCHO SIKASIL BLANCO,H0518,SIKA CARTUCHO SIKASIL BLANCO,UND,,,,
"TEE MECANICA RANUR. RECOMB 2 1/2X 1 1/2""",H0519,"TEE MECANICA RANUR. RECOMB 2 1/2X 1 1/2""",UND,,,,
REDUCCION BRONCE DE 1/2 X 1/4,H0520,REDUCCION BRONCE DE 1/2 X 1/4,UND,,,,
CLAVO DE ACERO CHINO,H0521,CLAVO DE ACERO CHINO,UND,,,,
ALAMBRE GALVANIZADO,H0522,ALAMBRE GALVANIZADO,UND,,,,
BUSHIN HG 1 1/4 X 3/4,H0523,BUSHIN HG 1 1/4 X 3/4,UND,,,,
BUSHIN HN 3/4X1/2,H0524,BUSHIN HN 3/4X1/2,UND,,,,
CODO HN 90 X 1 1/4,H0525,CODO HN 90 X 1 1/4,UND,,,,
TINNER ALQUIDICO,H0526,TINNER ALQUIDICO,UND,,,,
ESPONJA NEGRA,H0527,ESPONJA NEGRA,UND,,,,
CODO AC PS C40 90X1 1/2,H0528,CODO AC PS C40 90X1 1/2,UND,,,,
REDUCCION HN RANURADA ROSCABLE RECOMB,H0529,REDUCCION HN RANURADA ROSCABLE RECOMB,UND,,,,
TAPON H 50 MM PLASTIGAMA,H0530,TAPON H 50 MM PLASTIGAMA,UND,,,,
CODO PVC 110MM x 90 DESAGUE RIVAL,H0531,CODO PVC 110MM x 90 DESAGUE RIVAL,UND,,,,
CODO PVC 50MM X 90 DESAGUE RIVAL,H0532,CODO PVC 50MM X 90 DESAGUE RIVAL,UND,,,,
REGULADOR IRAB40KG 1/4 X 3/8 902 X MANOMETRO,H0533,REGULADOR IRAB40KG 1/4 X 3/8 902 X MANOMETRO,UND,,,,
"ESPATULA 2 1/2"" STANLEY",H0534,"ESPATULA 2 1/2"" STANLEY",UND,,,,
DETERGENTE 340 GR FLORAL DEJA,H0535,DETERGENTE 340 GR FLORAL DEJA,UND,,,,
LIJA DE AGUA 150,H0536,LIJA DE AGUA 150,UND,,,,
VALVULA PVC ESFERA GRIS AZUL 63 MM COMPACTA AB,H0537,VALVULA PVC ESFERA GRIS AZUL 63 MM COMPACTA AB,UND,,,,
REDUCTOR SOL 75 MM X 63 MM ASTORE,H0538,REDUCTOR SOL 75 MM X 63 MM ASTORE,UND,,,,
TEE PVC 110 MM,H0539,TEE PVC 110 MM,UND,,,,
HORMIPEGA PREMIUM VALV,H0540,HORMIPEGA PREMIUM VALV,UND,,,,
VALVULA FILTRA 1/2 GENEBRE BRONCE,H0541,VALVULA FILTRA 1/2 GENEBRE BRONCE,UND,,,,
VALVULA FILTRA 1/2 ITAP,H0542,VALVULA FILTRA 1/2 ITAP,UND,,,,
VALVULA ESFERA ROSCABLE AI 1 1/4,H0543,VALVULA ESFERA ROSCABLE AI 1 1/4,UND,,,,
VALVULA ESFERA RNIBCO P/AMARILLA TFP 600A 1/2,H0544,VALVULA ESFERA RNIBCO P/AMARILLA TFP 600A 1/2,UND,,,,
"VALVULA ESFERA AI ROSCABLE 2 CPS 1/2""",H0545,"VALVULA ESFERA AI ROSCABLE 2 CPS 1/2""",UND,,,,
BOMBA WATERPRO 1.5 HP BTP-110 T/PIRAÑA,H0546,BOMBA WATERPRO 1.5 HP BTP-110 T/PIRAÑA,UND,,,,
ADAPTADOR TF H 25X1/2 TIGRE,H0547,ADAPTADOR TF H 25X1/2 TIGRE,UND,,,,
VALVULA PVC BOLA P 1 1/2,H0548,VALVULA PVC BOLA P 1 1/2,UND,,,,
BIJE RED SOLD 1 1/2 X 1 1/4 SCH 40 TIGRE,H0549,BIJE RED SOLD 1 1/2 X 1 1/4 SCH 40 TIGRE,UND,,,,
CODO PVC 90 DESAGUE 160 MM RIVAL,H0550,CODO PVC 90 DESAGUE 160 MM RIVAL,UND,,,,
VALVULA CHECK YORK 103 BR 3-4,H0551,VALVULA CHECK YORK 103 BR 3-4,UND,,,,
ADAPTADOR TF M 25 MM X 3/4,H0552,ADAPTADOR TF M 25 MM X 3/4,UND,,,,
TORNILLO AUTOPERFORANTE 1X8,H0553,TORNILLO AUTOPERFORANTE 1X8,UND,,,,
VALVULA ANGULAR BR. GIACOMONI HN NPTXNST ULFM 1 1/2,H0554,VALVULA ANGULAR BR. GIACOMONI HN NPTXNST ULFM 1 1/2,UND,,,,
NIPLE BR 1 1/2 NPT X 1 1/2 NST,H0555,NIPLE BR 1 1/2 NPT X 1 1/2 NST,UND,,,,
MANGUERA CONTRAINCENDIO CH DOBLE CHAQUETA 15 MT X 1 1/2,H0556,MANGUERA CONTRAINCENDIO CH DOBLE CHAQUETA 15 MT X 1 1/2,UND,,,,
PITON BRONCE PARA MANGUERA NST 1 1/2,H0557,PITON BRONCE PARA MANGUERA NST 1 1/2,UND,,,,
HACHA DE BOMBERO,H0558,HACHA DE BOMBERO,UND,,,,
EXTINTOR 10 LBS PQS,H0559,EXTINTOR 10 LBS PQS,UND,,,,
BLOWER INDUSTRIAL 0.5 HP 120/220 V HURACAN,H0560,BLOWER INDUSTRIAL 0.5 HP 120/220 V HURACAN,UND,,,,
VALVULA DE BOLA PEGABLE 1 1/2 ,H0561,VALVULA DE BOLA PEGABLE 1 1/2 ,UND,,,,
REDUCTOR DE 1 1/2 X 1 1/4 LASCO,H0562,REDUCTOR DE 1 1/2 X 1 1/4 LASCO,UND,,,,
"VALVULA DE BOLA PEGABLE 1""",H0563,"VALVULA DE BOLA PEGABLE 1""",UND,,,,
ADAPTADOR H 3/4 LASCO,H0564,ADAPTADOR H 3/4 LASCO,UND,,,,
"TUBO 1"" CED 40 6 METROS",H0565,"TUBO 1"" CED 40 6 METROS",UND,,,,
CADENA GALVANIZADA 1/8,H0566,CADENA GALVANIZADA 1/8,UND,,,,
CANDADO DE HIERRO 63 MM,H0567,CANDADO DE HIERRO 63 MM,UND,,,,
BISAGRA DORADA,H0568,BISAGRA DORADA,UND,,,,
CANALETA BLANCA 22X10,H0569,CANALETA BLANCA 22X10,UND,,,,
TOMACORRIENTE DOBLE T AM 2P,H0570,TOMACORRIENTE DOBLE T AM 2P,UND,,,,
DUCTO DE ALUMINIO PARA VENTILACION,H0571,DUCTO DE ALUMINIO PARA VENTILACION,UND,,,,
REJILLA VENTILACION 5 X10 ,H0572,REJILLA VENTILACION 5 X10 ,UND,,,,
TUBO PVC VENTILACION 50 MMX3MTS,H0573,TUBO PVC VENTILACION 50 MMX3MTS,UND,,,,
TUBO PVC 75MM VENTILACION,H0574,TUBO PVC 75MM VENTILACION,UND,,,,
TUBO PVC 110MM VENTILACION,H0575,TUBO PVC 110MM VENTILACION,UND,,,,
TUBO PVC 150MM VENTILACION,H0576,TUBO PVC 150MM VENTILACION,UND,,,,
TUBO BLANCO CED 40 1 1/4 X 6 METROS,H0577,TUBO BLANCO CED 40 1 1/4 X 6 METROS,UND,,,,
PEGAMENTO PVC ARROW 118 ML,H0578,PEGAMENTO PVC ARROW 118 ML,UND,,,,
CINTA PAPEL ALUMINIO ADHESIVO,H0579,CINTA PAPEL ALUMINIO ADHESIVO,UND,,,,
PILA ENERGIZER,H0580,PILA ENERGIZER,UND,,,,
CABLE RIGIDO N0. 50 ROJO,H0581,CABLE RIGIDO N0. 50 ROJO,UND,,,,
CLAVO DE ACERO CHINO 2 1/2,H0582,CLAVO DE ACERO CHINO 2 1/2,UND,,,,
CLAVO DE ACERO CHINO  1 1/2,H0583,CLAVO DE ACERO CHINO  1 1/2,UND,,,,
BOQUILLA DE BLOWER DAMIPLAST,H0584,BOQUILLA DE BLOWER DAMIPLAST,UND,,,,
"VALVULA FILTRA 1"" GENEBRE",H0585,"VALVULA FILTRA 1"" GENEBRE",UND,,,,
TAPON PEGABLE 1 1/4 H LASCO,H0586,TAPON PEGABLE 1 1/4 H LASCO,UND,,,,
VALVULA CHECK SIAMESA 4 X 2 1/2  DOBLE,H0587,VALVULA CHECK SIAMESA 4 X 2 1/2  DOBLE,UND,,,,
REDUCTOR PVC EXC DESAGUE 75X50 MM RIVAL,H0588,REDUCTOR PVC EXC DESAGUE 75X50 MM RIVAL,UND,,,,
"VALVULA CHECK RANUR FLOWCOM 350 A 2 1/2""",H0589,"VALVULA CHECK RANUR FLOWCOM 350 A 2 1/2""",UND,,,,
"BOMBA AGR SUMER UPM 4/3 1.5HP 220V 1.25 M 6"" PEDROLLO",H0590,"BOMBA AGR SUMER UPM 4/3 1.5HP 220V 1.25 M 6"" PEDROLLO",UND,,,,
MOTOR SUMERGIBLE 4.4ZPC55P2-5.5HP,H0591,MOTOR SUMERGIBLE 4.4ZPC55P2-5.5HP,UND,,,,
HIDRAULICA SUMERGIBLE 4SR90G/50 5.5HP 2 MOTOR SUMERGIBLE DE 4,H0592,HIDRAULICA SUMERGIBLE 4SR90G/50 5.5HP 2 MOTOR SUMERGIBLE DE 4,UND,,,,
"TUBO PVC SCH-40 2""X6M 280 PSI EXT/LISOS",H0593,"TUBO PVC SCH-40 2""X6M 280 PSI EXT/LISOS",UND,,,,
PEGA WELD ON 16 FL 473 ML NARANJA,H0594,PEGA WELD ON 16 FL 473 ML NARANJA,UND,,,,
"CODO PVC 45 CED 40 DE 2""",H0595,"CODO PVC 45 CED 40 DE 2""",UND,,,,
"CODO PVC 90 CED 40 DE 2""",H0596,"CODO PVC 90 CED 40 DE 2""",UND,,,,
"TEE PVC CED 40 2 "" GOL",H0597,"TEE PVC CED 40 2 "" GOL",UND,,,,
"ADAPTADOR PVC M 2"" CED 40",H0598,"ADAPTADOR PVC M 2"" CED 40",UND,,,,
"UNIVERSAL PVC 2"" DURA",H0599,"UNIVERSAL PVC 2"" DURA",UND,,,,
"VALVULA BOLA VIENNA 216 2""",H0600,"VALVULA BOLA VIENNA 216 2""",UND,,,,
"VAVULA CHECK YORK 103 BR 1 1/4""",H0601,"VAVULA CHECK YORK 103 BR 1 1/4""",UND,,,,
"VAVULA CHECK YORK 103 BR 2""",H0602,"VAVULA CHECK YORK 103 BR 2""",UND,,,,
TANQUE HID TD-300/10 VERTICAL INM,H0603,TANQUE HID TD-300/10 VERTICAL INM,UND,,,,
ADAPTADOR PEGA 2 H LASCO,H0604,ADAPTADOR PEGA 2 H LASCO,UND,,,,
NUDO PVC PEGA 1 1/4,H0605,NUDO PVC PEGA 1 1/4,UND,,,,
"BUSHING PEGA  1 1/4 X 1"" LASCO",H0606,"BUSHING PEGA  1 1/4 X 1"" LASCO",UND,,,,
TEE PEGA 1 1/4  LASCO,H0607,TEE PEGA 1 1/4  LASCO,UND,,,,
BUSHING PEGA 1 1/4 X 1/2 LASCO,H0608,BUSHING PEGA 1 1/4 X 1/2 LASCO,UND,,,,
ADAPTADOR PEGA 1 1/2  LASCO,H0609,ADAPTADOR PEGA 1 1/2  LASCO,UND,,,,
BUSHING PEGABLE 1 1/2X 1 1/4 LASCO,H0610,BUSHING PEGABLE 1 1/2X 1 1/4 LASCO,UND,,,,
"NEPLO AC CED 40  2 X 8""",H0611,"NEPLO AC CED 40  2 X 8""",UND,,,,
"BUSHING HN ULFM 4"" X 2 1/2""",H0612,"BUSHING HN ULFM 4"" X 2 1/2""",UND,,,,
"VALVULA ESFERA AI ROSCABLE 2 CPS 1""",H0613,"VALVULA ESFERA AI ROSCABLE 2 CPS 1""",UND,,,,
RIEL METAL 40X20 3 METROS,H0614,RIEL METAL 40X20 3 METROS,UND,,,,
"ABRAZADERA PERA 2 1/2""",H0615,"ABRAZADERA PERA 2 1/2""",UND,,,,
ADAPTADOR PEGA 1 1/4 M LASCO,H0616,ADAPTADOR PEGA 1 1/4 M LASCO,UND,,,,
NEPLO POLIP 1/2 C CINT PMEX,H0617,NEPLO POLIP 1/2 C CINT PMEX,UND,,,,
UNION DE BRONCE DE 1/2X1/2XM-H CACHIMBA,H0618,UNION DE BRONCE DE 1/2X1/2XM-H CACHIMBA,UND,,,,
ADAPTADOR PVC M ROSCABLE 50X1 1/2,H0619,ADAPTADOR PVC M ROSCABLE 50X1 1/2,UND,,,,
TUBO PVC 50 MM X 6METROS,H0620,TUBO PVC 50 MM X 6METROS,UND,,,,
CODO PVC 45 PRESION 50 MM,H0621,CODO PVC 45 PRESION 50 MM,UND,,,,
CODO PVC 90 PRESION 50 MM,H0622,CODO PVC 90 PRESION 50 MM,UND,,,,
YEE PVC 50MM DESAGUE RIVAL,H0623,YEE PVC 50MM DESAGUE RIVAL,UND,,,,
BOMBA SUMERGIBLE TRUPER 1.5 HP 110 V TRUPER,H0624,BOMBA SUMERGIBLE TRUPER 1.5 HP 110 V TRUPER,UND,,,,
UNION BRONCE 1/2X1/2 MH CACHIMBA,H0625,UNION BRONCE 1/2X1/2 MH CACHIMBA,UND,,,,
"BUSHING HN ULFM 1 1/4""X1""",H0626,"BUSHING HN ULFM 1 1/4""X1""",UND,,,,
SIFON PVC 110MM DESAGUE RIVAL,H0627,SIFON PVC 110MM DESAGUE RIVAL,UND,,,,
SIFON PVC 75MM DESAGUE RIVAL,H0628,SIFON PVC 75MM DESAGUE RIVAL,UND,,,,
UNION PVC DESAGUE 50 MM RIVAL,H0629,UNION PVC DESAGUE 50 MM RIVAL,UND,,,,
UNION PVC DESAGUE 75 MM RIVAL,H0630,UNION PVC DESAGUE 75 MM RIVAL,UND,,,,
SIFON PVC 50 MM DESAGUE RIVAL,H0631,SIFON PVC 50 MM DESAGUE RIVAL,UND,,,,
POLILIMPIA 125 CC,H0632,POLILIMPIA 125 CC,UND,,,,
KALIPEGA 946 CC LITRO,H0633,KALIPEGA 946 CC LITRO,UND,,,,
KALIPEGA 500 CC ,H0634,KALIPEGA 500 CC ,UND,,,,
NUDO PEGA 1/2 LASCO,H0635,NUDO PEGA 1/2 LASCO,UND,,,,
TEE PVC CED40 PEGABLE TIGRE,H0636,TEE PVC CED40 PEGABLE TIGRE,UND,,,,
BUJE PVC C40 3/4X1/2 DURA,H0637,BUJE PVC C40 3/4X1/2 DURA,UND,,,,
ADAPTADOR PVC H 3/4 CED40 ,H0638,ADAPTADOR PVC H 3/4 CED40 ,UND,,,,
VALVULA REDUCTORA P/AGUA 3/4 GENEBRE,H0639,VALVULA REDUCTORA P/AGUA 3/4 GENEBRE,UND,,,,
ADAPATADOR PEGABLE 3/4 M LASCO,H0640,ADAPATADOR PEGABLE 3/4 M LASCO,UND,,,,
DUCHA MONOCOMANDO FV FLOW E108/B3 CR ,H0641,DUCHA MONOCOMANDO FV FLOW E108/B3 CR ,UND,,,,
SUELDA FRIO JUST COOPER JACO,H0642,SUELDA FRIO JUST COOPER JACO,UND,,,,
PUENTE TF VESBO 32 MM,H0643,PUENTE TF VESBO 32 MM,UND,,,,
PUENTE TF VESBO 25 MM CORTO,H0644,PUENTE TF VESBO 25 MM CORTO,UND,,,,
CODO PEGABLE 1/2X90,H0645,CODO PEGABLE 1/2X90,UND,,,,
ADAPTADOR PEGABLE 1/2 MACHO,H0646,ADAPTADOR PEGABLE 1/2 MACHO,UND,,,,
CUELLO FLEX TUBER,H0647,CUELLO FLEX TUBER,UND,,,,
CINTA EMPALME ADHESIVA,H0648,CINTA EMPALME ADHESIVA,UND,,,,
PINTURA REFLECTIONS,H0649,PINTURA REFLECTIONS,UND,,,,
"ROLLER BRUSH 8"" MANGO",H0650,"ROLLER BRUSH 8"" MANGO",UND,,,,
TORNILLO EMB P-AGLON,H0651,TORNILLO EMB P-AGLON,UND,,,,
UNIVERSAL SOLDABLE 50 MM HID,H0652,UNIVERSAL SOLDABLE 50 MM HID,UND,,,,
NUDO UNIVERSAL INOX DE 1 1/2” ,H0653,NUDO UNIVERSAL INOX DE 1 1/2” ,UND,,,,
TUBO PVC SILVER 75 MM X 3 M RIVAL,H0654,TUBO PVC SILVER 75 MM X 3 M RIVAL,UND,,,,
"BROCA P CONCRETO 3/8""X6""",H0655,"BROCA P CONCRETO 3/8""X6""",UND,,,,
POLYEXPANDED BARRA 40 MM GRIS,H0656,POLYEXPANDED BARRA 40 MM GRIS,UND,,,,
"UNION HN ULFM 1 1/4""",H0657,"UNION HN ULFM 1 1/4""",UND,,,,
"TUBO AC CED40 3""X6METROS",H0658,"TUBO AC CED40 3""X6METROS",UND,,,,
"CODO HN RANURADO 90X3""",H0659,"CODO HN RANURADO 90X3""",UND,,,,
"UNION RANURADA FLEXIBLE 3""",H0660,"UNION RANURADA FLEXIBLE 3""",UND,,,,
"TEE MECANICA  ROSCABLE 3""X 1 1/2",H0661,"TEE MECANICA  ROSCABLE 3""X 1 1/2",UND,,,,
"BUSHING HG ULFM 1 1/2 X 1 1/4""",H0662,"BUSHING HG ULFM 1 1/2 X 1 1/4""",UND,,,,
"COLGADOR AG PERA ULFM 3""",H0663,"COLGADOR AG PERA ULFM 3""",UND,,,,
CAJETIN RECTANGULAR DEPLASTICO,H0664,CAJETIN RECTANGULAR DEPLASTICO,UND,,,,
TIJERA TF MECANICA P-CORTE,H0665,TIJERA TF MECANICA P-CORTE,UND,,,,
SIFON PVC 1 1/2 CON PLACA B,H0666,SIFON PVC 1 1/2 CON PLACA B,UND,,,,
CHUPON UNIVERSAL 4 EN 1,H0667,CHUPON UNIVERSAL 4 EN 1,UND,,,,
CANASTILLA PLASTICA DE 1 1/2 YETKA COMPLETO,H0668,CANASTILLA PLASTICA DE 1 1/2 YETKA COMPLETO,UND,,,,
"CODO HG 150 ULFM 90X 1  1/4""",H0669,"CODO HG 150 ULFM 90X 1  1/4""",UND,,,,
"TEE HN ULFM 3""",H0670,"TEE HN ULFM 3""",UND,,,,
SIFON DE 1 1/2 PARA COCINA CON FREGADERO CON REBOSADERO,H0671,SIFON DE 1 1/2 PARA COCINA CON FREGADERO CON REBOSADERO,UND,,,,
ESPUMA DE MULTIPOSICION,H0672,ESPUMA DE MULTIPOSICION,UND,,,,
NEPLO INOX 1X4,H0673,NEPLO INOX 1X4,UND,,,,
"CODO HN 150 ULFM 90X1/2""",H0674,"CODO HN 150 ULFM 90X1/2""",UND,,,,
TUERCA DE ACERO G5 3/8 HILO 16,H0675,TUERCA DE ACERO G5 3/8 HILO 16,UND,,,,
MASILLA PARA GYPSUM,H0676,MASILLA PARA GYPSUM,UND,,,,
UNION POLIP 1/2 M-H PMEX,H0677,UNION POLIP 1/2 M-H PMEX,UND,,,,
KALIPEGA 125 CC,H0678,KALIPEGA 125 CC,UND,,,,
"GUANTE DE CUERO GRIS 20"" PARA SOLDAR",H0679,"GUANTE DE CUERO GRIS 20"" PARA SOLDAR",UND,,,,
NUDO ESPIGA 50 GOL,H0680,NUDO ESPIGA 50 GOL,UND,,,,
LLAVE DE CHORRO FV,H0681,LLAVE DE CHORRO FV,UND,,,,
PERNO ANCLAJE ZINC,H0682,PERNO ANCLAJE ZINC,UND,,,,
EQUIPO DE PRESURIZACION ELECTRONICO,H0683,EQUIPO DE PRESURIZACION ELECTRONICO,UND,,,,
"UNION HG THAI 1 1/4""",H0684,"UNION HG THAI 1 1/4""",UND,,,,
"CODO HN RANURADO RECOMB ULFM 45X3""",H0685,"CODO HN RANURADO RECOMB ULFM 45X3""",UND,,,,
"PLATINA DE 1 1/2 X 1/8""",H0686,"PLATINA DE 1 1/2 X 1/8""",UND,,,,
REDUCCION PEGABLE 1 X 3/4 LASCO CAMPANA CHARLOT,H0687,REDUCCION PEGABLE 1 X 3/4 LASCO CAMPANA CHARLOT,UND,,,,
"REDUCCION HN RANURADA 3X2""",H0688,"REDUCCION HN RANURADA 3X2""",UND,,,,
"BROCA P CONCRETO 5/8""",H0689,"BROCA P CONCRETO 5/8""",UND,,,,
PEGAMENTO PVC C ARROW NAR 950 ML,H0690,PEGAMENTO PVC C ARROW NAR 950 ML,UND,,,,
REDUCCION PEGABLE DE 1 1/4 X 1,H0691,REDUCCION PEGABLE DE 1 1/4 X 1,UND,,,,
REDUCCION PEGABLE DE 1 X 1/2,H0692,REDUCCION PEGABLE DE 1 X 1/2,UND,,,,
CODO HG 150 ULFM 45X1,H0693,CODO HG 150 ULFM 45X1,UND,,,,
TEE HG 1/2,H0694,TEE HG 1/2,UND,,,,
NEPLO HG DE 1/2 CON CINTURA,H0695,NEPLO HG DE 1/2 CON CINTURA,UND,,,,
ADAPTADOR P-MA HEMBRA ,H0696,ADAPTADOR P-MA HEMBRA ,UND,,,,
"NEPLO INOX 1/2 X 3""",H0697,"NEPLO INOX 1/2 X 3""",UND,,,,
LLAVE ANGULAR 1/2 X 1/2 MM ,H0698,LLAVE ANGULAR 1/2 X 1/2 MM ,UND,,,,
RUEDAS PARA ANDAMIOS,H0699,RUEDAS PARA ANDAMIOS,UND,,,,
UNION PVC 3/4 PEGABLE TIGRE,H0700,UNION PVC 3/4 PEGABLE TIGRE,UND,,,,
CODO PVC 45 PEGABLE 3/4 TIGRE,H0701,CODO PVC 45 PEGABLE 3/4 TIGRE,UND,,,,
PEGA WELD ON TIGRE 237 ML,H0702,PEGA WELD ON TIGRE 237 ML,UND,,,,
PLACA DECORATIVA PARA ROCIADOR,H0703,PLACA DECORATIVA PARA ROCIADOR,UND,,,,
"TORNILLOS TIRAFONDOS 1 1/2""",H0704,"TORNILLOS TIRAFONDOS 1 1/2""",UND,,,,
TACOS FISHER N0.6,H0705,TACOS FISHER N0.6,UND,,,,
MANGUERA CONTRAINCENDIOS DOBLE CHAQUETA 30 M X 1 1/2,H0706,MANGUERA CONTRAINCENDIOS DOBLE CHAQUETA 30 M X 1 1/2,UND,,,,
GABINETE SOBREPUESTO HN 70X22,H0707,GABINETE SOBREPUESTO HN 70X22,UND,,,,
"LLAVE SPANER 2 1/2 X 1/2""",H0708,"LLAVE SPANER 2 1/2 X 1/2""",UND,,,,
SIFON ACORDEON MAS REJILLA E 2460 ,H0709,SIFON ACORDEON MAS REJILLA E 2460 ,UND,,,,
SIFON ACORDEON EDESA + REJILLA INOX 1 1/2 ,H0710,SIFON ACORDEON EDESA + REJILLA INOX 1 1/2 ,UND,,,,
TUBO ABASTO 5/8 X 1/2 SANITARIOS 40 H-M FV E 2750,H0711,TUBO ABASTO 5/8 X 1/2 SANITARIOS 40 H-M FV E 2750,UND,,,,
ABRAZADERA EMT 3/4 LUXAR,H0712,ABRAZADERA EMT 3/4 LUXAR,UND,,,,
CODO PEGABLE TIGRE 50X90,H0713,CODO PEGABLE TIGRE 50X90,UND,,,,
"BUSHING HN ULFM 2 1/2X 2""",H0714,"BUSHING HN ULFM 2 1/2X 2""",UND,,,,
CAJA METAL CARGA GAS 35X35X18,H0715,CAJA METAL CARGA GAS 35X35X18,UND,,,,
VALVULA ALIVIO GAS 1/2 3129G,H0716,VALVULA ALIVIO GAS 1/2 3129G,UND,,,,
TEE CHECK ACOPLE DOBLE 1 1/4 REGO L7579 ACNE,H0717,TEE CHECK ACOPLE DOBLE 1 1/4 REGO L7579 ACNE,UND,,,,
CODO INOX 1 1/4 X 90,H0718,CODO INOX 1 1/4 X 90,UND,,,,
BOQUILLA BRONCE 1/2X 5/8 M PITON RECTA,H0719,BOQUILLA BRONCE 1/2X 5/8 M PITON RECTA,UND,,,,
PEGA WELD ON 118ML PRETTO TRANSPARENTE,H0720,PEGA WELD ON 118ML PRETTO TRANSPARENTE,UND,,,,
NEPLO INOX 1 1/2 CON CINTURA,H0721,NEPLO INOX 1 1/2 CON CINTURA,UND,,,,
"NEPLO AI 3/4 X 4""",H0722,"NEPLO AI 3/4 X 4""",UND,,,,
"NUDO AI ROSCABLE 3/4""",H0723,"NUDO AI ROSCABLE 3/4""",UND,,,,
"NEPLO AI 1X6""",H0724,"NEPLO AI 1X6""",UND,,,,
"VALVULA ESFERICA A/I ROSCABLE P/T 2 CPS 3/4""",H0725,"VALVULA ESFERICA A/I ROSCABLE P/T 2 CPS 3/4""",UND,,,,
"VALVULA CHECK YORK 103 BR 1/2""",H0726,"VALVULA CHECK YORK 103 BR 1/2""",UND,,,,
TE ACOPLE DESCARGA 1 3/4 X 1 NPT REGO,H0727,TE ACOPLE DESCARGA 1 3/4 X 1 NPT REGO,UND,,,,
VALVULA CHECK VERTICAL DE 1 1/4,H0728,VALVULA CHECK VERTICAL DE 1 1/4,UND,,,,
