CODIGO,DESCRIPCION," TIPO",CANTIDAD,PRECIO,PRECIO H.,Ubicación,CATEGORIA,PROVEEDOR,TOTAL
283T,"REDUCCION AC CED 40 2 1/2 X 1 """,UND,0,,0,,,,0
284T,"CODO HN 150 ULFM 45X2""",UND,0,,0,,,,0
285T,ANILLO DE CERA 1319 EDESA,UND,0,"2,18 US$","2,616",,,,0
286T,ESTILETE 18 MM PLASTICO,UND,0,,0,,,,0
287T,"ESPATULA 3"" SILK MANGO",UND,0,,0,,,,0
288T,"GRILLETE PARA CABLE 1/4""",UND,0,,0,,,,0
289T,SPRINKLER PENDIENTE 1/2 CROMADO,UND,0,,0,,,,0
290T,COBERTOR SPRINKLER 1/2 CROMADO,UND,0,,0,,,,0
291T,"VALVULA DE BOLA STAND VIENNA 1/2"" ROJA",UND,0,,0,,,,0
292T,"TEE ROSCABLE DE 1/2"" PLASTIGAMA",UND,0,,0,,,,0
293T,"CODO HN RANURADO FLEXIBLE 90X2 1/2""",UND,0,,0,,,,0
294T,"CODO HN RANURA FLEXIBLE ULFM 45 X 2 1/2""",UND,0,,0,,,,0
295T,"CODO AC 90 X2 1/2""",UND,0,,0,,,,0
296T,REDUCCION HN DE 2 1/2 X 2,UND,0,,0,,,,0
297T,VALVULA RED PRES MINIPRES ITAP 361,UND,0,,0,,,,0
298T,"BUSHING AI 1X1/2""",UND,0,,0,,,,0
299T,REGULADOR DE PRIMERA 8KG RECA+ MANOMETRO,UND,0,,0,,,,0
300T,"TUERCA LOCA DE 1/2 X 5/16"" (H IZQ PITON CENTRALINA)",UND,0,,0,,,,0
301T,FERRULATOJN 5/16 CASQUILLO,UND,0,,0,,,,0
302T,MANGUERA REFORZADA 5/16 X METRO ALFFLEX,UND,0,,0,,,,0
303T,"BOQUILLA BRONCE 1/2 X 5/16"" M-PITON PANAMA PEX",UND,0,,0,,,,0
304T,"REDUCCION  BRONCE DE 1/2 X1/4""",UND,0,,0,,,,0
305T,ARANDELA PLANA DE ACERO,UND,0,,0,,,,0
306T,GRAPA TUBERIA 1/2 INDUMA,UND,0,,0,,,,0
307T,"BROCA PLUS HAMMER 1/4"" BPH",UND,0,,0,,,,0
308T,"UNION H/N ULFM 1 1/4""",UND,0,,0,,,,0
309T,"BUSHING HN 1/2 X 1/4""",UND,0,,0,,,,0
310T,"TEE HN 150 ULFM 1/2""",UND,0,,0,,,,0
311T,"CODO AC CD 40 90X1""",UND,0,,0,,,,0
312T,"VALVULA ESFERA AC NIBCO 1""",UND,0,,0,,,,0
313T,"NEPLO AC CED 40 1"" X 3""",UND,0,,0,,,,0
314T,"REDUCCION AC CED 40 1 1/4X 1""",UND,0,,0,,,,0
315T,"REDUCCION HN RANURADO ULFM 2 1/2X 2""",UND,0,,0,,,,0
316T,"TEE MECANICA ROSCABLE  ULFM DE 2"" X 1  1/2""",UND,0,,0,,,,0
317T,"REDUCTOR AC CED40 2 X 1 1/2""",UND,0,,0,,,,0
318T,MANOMETRO VERTICAL 1/4 0-400 GENEBRE,UND,0,,0,,,,0
319T,LIJA 120,UND,0,"0,30 US$","0,36",,,,0
320T,GUANTE DE LATEX LISO MEDIUM,UND,0,,0,,,,0
321T,ELECTRODO 6011,UND,0,,0,,,,0
322T,"BROCA MAX HAMMER 3/4""",UND,0,,0,,,,0
323T,TUBO DE ABASTO CALEFON 1/2 COFLEX,UND,0,,0,,,,0
324T,CALEFON INSTAMATIC 26 LITROS,UND,0,,0,,,,0
325T,RIEL CHANEL 3 METROS 41X21X1 5 MM DE ESPESOR,UND,0,,0,,,,0
326T,REDUCCION BRONCE DE 1/2 X 3/8,UND,0,,0,,,,0
327T,TAPON INOX 1/2 M,UND,0,,0,,,,0
328T,NEPLO BRONCE 1/4 CON CINTURA,UND,0,,0,,,,0
329T,"PLACA DECORATIVA GRIS 1/2""",UND,0,,0,,,,0
330T,"ROCIADOR AUT. COLGANTE 1/2"" GRIS",UND,0,,0,,,,0
341T,"TEE TF H  ROSCABLE 25X1/2""",UND,0,,0,,,,0
342T,BROCA ESCALONADA 9 NIVELES 4 MM,UND,0,,0,,,,0
343T,KILO DE CLAVOS DE CONGRETO NEGRO,UND,0,,0,,,,0
344T,"CODO AC PS CED 40 90X  1/2""",UND,0,,0,,,,0
345T,NEPLO AC CED 40 1  1/2 X 8,UND,0,,0,,,,0
346T,TEE MECANICA ROSCABLE 2 1/2 X 1,UND,0,,0,,,,0
347 T,REDUCCION HN RANURADO DE 2 1/2X 1 1/2,UND,0,,0,,,,0
348T,"PLATINA HN 1""X1-8""",UND,0,,0,,,,0
349T,NEPLO AI ROSCABLE 1X4,UND,0,,0,,,,0
350T,DISCO DIAMANTE 4.1/2 CENTURY SEGMENTADO 115MM,UND,0,,0,,,,0
351T,"GRAPA TUBO CONDUCTOR 1""",UND,0,,0,,,,0
352T,GRIFERIA MONODUCHA ARIZONA FV E108/B1,UND,0,,0,,,,0
353T,CODO PVC 110MM X 45 DESAGUE RIVAL,UND,0,"2,35 US$","2,82",,,,0
354T,TUBO PVC DESAGUE 110 MM X 3 M TIGRE,UND,0,"6,50 US$","7,8",,,,0
355T,CODO PVC 50MM X 45 DESAGUE,UND,0,"0,62 US$","0,744",,,,0
356T,CODO PVC 75MM X 90 DESAGUE,UND,0,"1,18 US$","1,416",,,,0
357T,CODO PVC 75MM X 45 DESAGUE,UND,0,"1,45 US$","1,74",,,,0
358T,YEE PVC 110MM DESAGUE RIVAL,UND,0,"2,55 US$","3,06",,,,0
359T,TUBO PVC DESAGUE 50 MM X 3 M RIVAL,UND,0,"2,32 US$","2,784",,,,0
360T,"PEGA WELD ON 602 1/4"" GALON TGR",UND,0,,0,,,,0
361T,YEE PVC 110MM X 50 DESAGUE TGR,UND,0,"2,30 US$","2,76",,,,0
362T,TUBO PVC DESAGUE 75 MM X 3 M,UND,0,"4,95 US$","5,94",,,,0
